Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
32,Femmine,458147,445597,456185,453289,451659,454605,443171,425910,409155,398293,378094,367062,360870,357517,345034,339055,333392,322805,321148,323448,315916,317678,314038
32,Totale,921367,896733,918756,916517,911436,917044,891104,855534,819346,794814,753237,734319,720876,715538,693458,681886,670717,652430,649095,655408,640417,648946,641873
33,Maschi,456815,465028,457971,468201,464904,460224,467245,450765,430306,411439,396956,379047,369914,360733,359018,349257,343520,338601,329109,324988,333154,327973,335148
33,Femmine,451097,461043,451459,460369,455407,453181,460251,446335,427759,411244,398956,380746,368913,361340,357812,345399,339536,333935,323293,318664,323709,319514,320205
33,Totale,907912,926071,909430,928570,920311,913405,927496,897100,858065,822683,795912,759793,738827,722073,716830,694656,683056,672536,652402,643652,656863,647487,655353
34,Maschi,459019,457385,469602,460899,467438,463331,462096,467613,449387,430001,410140,400364,381638,370525,361522,359915,349656,344688,338166,326070,325923,336528,331675
34,Femmine,455802,456301,468564,457946,464536,459122,460656,466356,449988,431702,414062,401537,382576,369258,361456,358124,345759,340206,334375,320941,318791,327242,321747
34,Totale,914821,913686,938166,918845,931974,922453,922752,933969,899375,861703,824202,801901,764214,739783,722978,718039,695415,684894,672541,647011,644714,663770,653422
35,Maschi,473799,460877,463072,474151,462075,467274,466632,463724,467616,449630,429620,413265,402746,382058,371593,362128,360505,350654,344557,335245,327214,329133,340250
35,Femmine,470041,458942,462766,473035,460582,466619,465106,465006,469274,452898,432952,416407,403282,383052,369416,361717,358356,346311,340457,332033,321096,322167,329595
35,Totale,943840,919819,925838,947186,922657,933893,931738,928730,936890,902528,862572,829672,806028,765110,741009,723845,718861,696965,685014,667278,648310,651300,669845
36,Maschi,474668,477416,468023,470096,477339,464434,472354,470520,465586,469717,451155,432642,415455,403200,382630,372475,362370,361816,350372,342289,336526,329835,332219
36,Femmine,471821,473160,465602,467856,475700,462788,472826,469704,468143,472411,454385,434977,417982,403526,383029,369437,361916,359005,346606,338839,332206,324401,324559
36,Totale,946489,950576,933625,937952,953039,927222,945180,940224,933729,942128,905540,867619,833437,806726,765659,741912,724286,720821,696978,681128,668732,654236,656778
37,Maschi,481113,477485,482495,473727,472784,478937,469273,475456,471824,467035,470442,453647,434559,415673,403662,382784,372836,363353,361476,348579,343183,338960,332853
37,Femmine,477379,473605,478432,470176,470222,477430,468507,476920,472505,471097,473688,456409,436474,417966,403546,383077,369423,362537,359300,345027,338992,335336,326604
37,Totale,958492,951090,960927,943903,943006,956367,937780,952376,944329,938132,944130,910056,871033,833639,807208,765861,742259,725890,720776,693606,682175,674296,659457
38,Maschi,452721,483036,481752,486243,475515,474035,482930,471977,476070,472523,467274,472710,455256,434593,416077,403876,382746,373968,363000,359901,349548,345431,341770
38,Femmine,453404,479357,478694,482275,472746,472148,483137,472621,479630,475467,472566,475622,457696,436564,417977,403454,383049,370021,362693,358229,345105,341933,337568
38,Totale,906125,962393,960446,968518,948261,946183,966067,944598,955700,947990,939840,948332,912952,871157,834054,807330,765795,743989,725693,718130,694653,687364,679338
39,Maschi,438786,454341,487346,485593,487387,476746,478400,485635,473009,476753,472647,469243,474211,454973,434613,416128,403771,383565,373576,361515,361018,351542,347859
39,Femmine,440985,454837,484752,482353,484183,475018,478454,487118,475282,482354,476752,474352,476954,457831,436590,417703,403283,383503,370154,361595,357984,347925,343824
39,Totale,879771,909178,972098,967946,971570,951764,956854,972753,948291,959107,949399,943595,951165,912804,871203,833831,807054,767068,743730,723110,719002,699467,691683
