Età,Anno,Totale maschi,Totale femmine,Totale
84,1987,47788,97572,145360
85,1987,161274,388252,549526
99,1987,27493442,29101045,56594487
0,1988,285818,268870,554688
1,1988,284969,269412,554381
2,1988,295691,281594,577285
3,1988,299012,284424,583436
4,1988,306284,290683,596967
5,1988,315190,301241,616431
6,1988,316692,302106,618798
7,1988,323901,308598,632499
8,1988,336918,321599,658517
9,1988,358752,343022,701774
10,1988,372918,357365,730283
11,1988,393813,377255,771068
12,1988,417208,400394,817602
13,1988,437914,419822,857736
14,1988,440036,422419,862455
15,1988,448241,427477,875718
16,1988,457808,436725,894533
17,1988,451728,432813,884541
18,1988,465235,447893,913128
19,1988,460276,443123,903399
20,1988,465724,451107,916831
21,1988,478793,465402,944195
22,1988,479853,467188,947041
23,1988,489062,475535,964597
24,1988,458460,448969,907429
25,1988,443464,436237,879701
26,1988,439481,431554,871035
27,1988,423208,417171,840379
28,1988,415724,409034,824758
29,1988,397592,394713,792305
30,1988,396590,394144,790734
31,1988,391582,391167,782749
32,1988,385955,385842,771797
33,1988,383092,385510,768602
34,1988,368661,368253,736914
35,1988,367048,369323,736371
36,1988,368872,371002,739874
37,1988,385291,388031,773322
38,1988,390484,392979,783463
39,1988,412063,415684,827747
40,1988,406664,409445,816109
41,1988,411244,415728,826972
42,1988,321026,325035,646061
43,1988,332428,336939,669367
44,1988,337970,345039,683009
45,1988,339968,348439,688407
46,1988,344400,353216,697616
47,1988,381094,393348,774442
48,1988,379662,390454,770116
49,1988,372189,384692,756881
50,1988,348431,361689,710120
51,1988,333614,350634,684248
52,1988,344876,361760,706636
53,1988,339283,357355,696638
54,1988,336490,355114,691604
55,1988,328261,351767,680028
56,1988,334383,358319,692702
57,1988,348694,377407,726101
58,1988,321263,349290,670553
59,1988,319997,350545,670542
60,1988,317543,352073,669616
61,1988,307841,348682,656523
62,1988,301263,345561,646824
63,1988,293413,342209,635622
64,1988,287653,342414,630067
65,1988,273507,340986,614493
66,1988,265185,334028,599213
67,1988,260645,331766,592411
68,1988,166378,213515,379893
69,1988,125308,164759,290067
70,1988,130574,169835,300409
71,1988,158349,210643,368992
72,1988,192634,260293,452927
73,1988,191553,262751,454304
74,1988,185998,259350,445348
75,1988,177151,251990,429141
76,1988,153875,228976,382851
77,1988,147784,223840,371624
78,1988,127519,200418,327937
79,1988,114897,188320,303217
80,1988,94155,161767,255922
81,1988,82557,149119,231676
82,1988,70647,131243,201890
83,1988,58641,117079,175720
84,1988,46928,96933,143861
85,1988,172229,413363,585592
99,1988,27495567,29113808,56609375
0,1989,294164,277431,571595
1,1989,284000,267871,551871
2,1989,283657,268752,552409
3,1989,294100,280562,574662
4,1989,297766,283639,581405
5,1989,305279,290037,595316
6,1989,314205,300700,614905
7,1989,317533,303200,620733
8,1989,324036,308982,633018
9,1989,336448,321386,657834
10,1989,358661,343142,701803
11,1989,372853,357405,730258
12,1989,393641,377271,770912
13,1989,417055,400485,817540
14,1989,437703,419963,857666
15,1989,439837,422573,862410
16,1989,448080,427699,875779
17,1989,457865,437071,894936
18,1989,451427,433130,884557
19,1989,464782,448073,912855
20,1989,459792,443205,902997
21,1989,464908,451078,915986
22,1989,477830,465493,943323
23,1989,478776,467205,945981
24,1989,487986,475668,963654
25,1989,456965,449042,906007
26,1989,442358,436392,878750
27,1989,438413,431578,869991
28,1989,422117,417219,839336
29,1989,414903,409039,823942
30,1989,397013,394743,791756
31,1989,396017,394130,790147
32,1989,391134,391129,782263
33,1989,385539,385839,771378
34,1989,382820,385512,768332
35,1989,368337,368197,736534
36,1989,366789,369267,736056
37,1989,368396,370924,739320
38,1989,384842,387963,772805
39,1989,389912,392623,782535
40,1989,411396,415290,826686
41,1989,405935,409005,814940
42,1989,410453,415288,825741
43,1989,320450,324762,645212
44,1989,331674,336413,668087
45,1989,337034,344455,681489
46,1989,338962,347901,686863
47,1989,343265,352644,695909
48,1989,379704,392576,772280
49,1989,378183,389455,767638
50,1989,370505,383661,754166
51,1989,346724,360655,707379
52,1989,331821,349589,681410
53,1989,342882,360591,703473
54,1989,336939,356074,693013
55,1989,333948,353775,687723
56,1989,325457,350364,675821
57,1989,331147,356632,687779
58,1989,344997,375569,720566
59,1989,317424,347343,664767
60,1989,315776,348296,664072
61,1989,312763,349630,662393
62,1989,302741,346098,648839
63,1989,295866,342634,638500
64,1989,287787,338921,626708
65,1989,281655,338923,620578
66,1989,267329,337124,604453
67,1989,258564,329870,588434
68,1989,253397,327179,580576
69,1989,161270,209967,371237
70,1989,121125,161623,282748
71,1989,125740,166504,292244
72,1989,152127,206154,358281
73,1989,184393,254031,438424
74,1989,182466,255418,437884
75,1989,176181,251327,427508
76,1989,167170,243457,410627
77,1989,144000,220004,364004
78,1989,137479,214066,351545
79,1989,117757,190392,308149
80,1989,104826,177348,282174
81,1989,85217,151237,236454
82,1989,73840,138495,212335
83,1989,62469,120612,183081
84,1989,51195,106441,157636
85,1989,181167,434651,615818
99,1989,27511139,29138062,56649201
0,1990,288910,272891,561801
1,1990,291257,275248,566505
2,1990,282003,266839,548842
3,1990,282503,268171,550674
4,1990,292690,279661,572351
5,1990,296662,282963,579625
6,1990,304350,289408,593758
7,1990,313309,300211,613520
8,1990,318378,304418,622796
9,1990,324138,309331,633469
10,1990,336238,321285,657523
11,1990,358599,343191,701790
12,1990,372799,357508,730307
13,1990,393513,377336,770849
14,1990,416906,400601,817507
15,1990,437501,420135,857636
16,1990,439610,422766,862376
17,1990,447817,427992,875809
18,1990,458011,438113,896124
19,1990,451226,433721,884947
20,1990,464453,448392,912845
21,1990,459428,443585,903013
22,1990,464203,451292,915495
23,1990,477084,465780,942864
24,1990,477959,467440,945399
25,1990,487110,476022,963132
26,1990,455681,449267,904948
27,1990,441438,436663,878101
28,1990,437497,431714,869211
29,1990,421157,417325,838482
30,1990,414183,409136,823319
31,1990,396458,394823,791281
32,1990,395522,394146,789668
33,1990,390645,391141,781786
34,1990,385148,385858,771006
35,1990,382525,385498,768023
36,1990,368022,368171,736193
37,1990,366568,369271,735839
38,1990,367970,370957,738927
39,1990,384414,387905,772319
40,1990,389316,392295,781611
41,1990,410701,414898,825599
42,1990,405277,408624,813901
43,1990,409715,414909,824624
44,1990,319833,324490,644323
45,1990,330875,336000,666875
46,1990,336046,343921,679967
47,1990,337998,347310,685308
48,1990,342167,352084,694251
49,1990,378302,391778,770080
50,1990,376518,388454,764972
51,1990,368867,382539,751406
52,1990,344857,359622,704479
53,1990,329884,348532,678416
54,1990,340767,359457,700224
55,1990,334499,354834,689333
56,1990,331242,352374,683616
57,1990,322664,348961,671625
58,1990,327789,354931,682720
59,1990,341209,373753,714962
60,1990,313376,345397,658773
61,1990,311422,346139,657561
62,1990,307880,347188,655068
63,1990,297488,343508,640996
64,1990,290307,339621,629928
65,1990,281944,335498,617442
66,1990,275614,335262,610876
67,1990,260998,333095,594093
68,1990,251811,325541,577352
69,1990,246070,322243,568313
70,1990,155976,206417,362393
71,1990,116848,158362,275210
72,1990,120828,163038,283866
73,1990,145681,201285,346966
74,1990,175987,247350,423337
75,1990,173350,248157,421507
76,1990,166495,242925,409420
77,1990,157286,234588,391874
78,1990,134257,210769,345026
79,1990,127334,204063,331397
80,1990,108109,179932,288041
81,1990,95293,166306,261599
82,1990,76705,140667,217372
83,1990,65786,127822,193608
84,1990,54991,110087,165078
85,1990,193582,465330,658912
99,1990,27527829,29166531,56694360
0,1991,292425,276942,569367
1,1991,286125,271753,557878
2,1991,287855,272688,560543
3,1991,280235,265930,546165
4,1991,281488,267659,549147
5,1991,291416,278845,570261
6,1991,295628,282313,577941
7,1991,303494,288850,592344
8,1991,312392,299665,612057
9,1991,319078,305504,624582
10,1991,324159,309457,633616
11,1991,336157,321259,657416
12,1991,358577,343286,701863
13,1991,372766,357633,730399
14,1991,393400,377413,770813
15,1991,416737,400735,817472
16,1991,437236,420294,857530
17,1991,439272,423009,862281
18,1991,447644,428770,876414
19,1991,458303,439719,898022
20,1991,451211,434478,885689
21,1991,464334,448993,913327
22,1991,459381,444260,903641
23,1991,463707,451746,915453
24,1991,476664,466313,942977
25,1991,477300,467884,945184
26,1991,486446,476514,962960
27,1991,454690,449624,904314
28,1991,440692,437031,877723
29,1991,436749,431917,868666
30,1991,420404,417508,837912
31,1991,413567,409258,822825
