Età,Sesso,Anno,Totale
22,Femmine,2005,313648
23,Maschi,2005,330791
23,Femmine,2005,320757
24,Maschi,2005,340859
24,Femmine,2005,330586
25,Maschi,2005,354414
25,Femmine,2005,345460
26,Maschi,2005,375540
26,Femmine,2005,366759
27,Maschi,2005,390856
27,Femmine,2005,383265
28,Maschi,2005,412893
28,Femmine,2005,407051
29,Maschi,2005,437439
29,Femmine,2005,431387
3,Maschi,2005,274944
3,Femmine,2005,260601
30,Maschi,2005,458047
30,Femmine,2005,450310
31,Maschi,2005,457801
31,Femmine,2005,450376
32,Maschi,2005,463228
32,Femmine,2005,453289
33,Maschi,2005,468201
33,Femmine,2005,460369
34,Maschi,2005,460899
34,Femmine,2005,457946
35,Maschi,2005,474151
35,Femmine,2005,473035
36,Maschi,2005,470096
36,Femmine,2005,467856
37,Maschi,2005,473727
37,Femmine,2005,470176
38,Maschi,2005,486243
38,Femmine,2005,482275
39,Maschi,2005,485593
39,Femmine,2005,482353
4,Maschi,2005,279102
4,Femmine,2005,263227
40,Maschi,2005,490976
40,Femmine,2005,488695
41,Maschi,2005,460659
41,Femmine,2005,462906
42,Maschi,2005,445520
42,Femmine,2005,449790
43,Maschi,2005,438022
43,Femmine,2005,443048
44,Maschi,2005,423870
44,Femmine,2005,430326
45,Maschi,2005,414488
45,Femmine,2005,419149
46,Maschi,2005,395662
46,Femmine,2005,402090
47,Maschi,2005,391635
47,Femmine,2005,398808
48,Maschi,2005,386663
48,Femmine,2005,395331
49,Maschi,2005,380393
49,Femmine,2005,390794
5,Maschi,2005,276032
5,Femmine,2005,261655
50,Maschi,2005,375107
50,Femmine,2005,387726
51,Maschi,2005,360983
51,Femmine,2005,370766
52,Maschi,2005,357060
52,Femmine,2005,370502
53,Maschi,2005,356991
53,Femmine,2005,372136
54,Maschi,2005,371915
54,Femmine,2005,387512
55,Maschi,2005,374437
55,Femmine,2005,388683
56,Maschi,2005,391557
56,Femmine,2005,407521
57,Maschi,2005,383681
57,Femmine,2005,399049
58,Maschi,2005,384503
58,Femmine,2005,403179
59,Maschi,2005,299134
59,Femmine,2005,315927
6,Maschi,2005,273850
6,Femmine,2005,257911
60,Maschi,2005,306795
60,Femmine,2005,325806
61,Maschi,2005,309907
61,Femmine,2005,333183
62,Maschi,2005,307862
62,Femmine,2005,334179
63,Maschi,2005,309759
63,Femmine,2005,339406
64,Maschi,2005,340142
64,Femmine,2005,375270
65,Maschi,2005,335224
65,Femmine,2005,370117
66,Maschi,2005,323834
66,Femmine,2005,361028
67,Maschi,2005,297531
67,Femmine,2005,336316
68,Maschi,2005,279574
68,Femmine,2005,323362
69,Maschi,2005,284005
69,Femmine,2005,332101
7,Maschi,2005,272135
7,Femmine,2005,257132
70,Maschi,2005,272377
70,Femmine,2005,324361
71,Maschi,2005,262821
71,Femmine,2005,318004
72,Maschi,2005,249060
72,Femmine,2005,311399
73,Maschi,2005,245250
73,Femmine,2005,313627
74,Maschi,2005,246467
74,Femmine,2005,324117
75,Maschi,2005,218297
75,Femmine,2005,294109
76,Maschi,2005,206827
76,Femmine,2005,287957
77,Maschi,2005,196987
77,Femmine,2005,280532
78,Maschi,2005,180024
78,Femmine,2005,269595
79,Maschi,2005,167624
79,Femmine,2005,260379
8,Maschi,2005,274460
8,Femmine,2005,259097
80,Maschi,2005,153267
80,Femmine,2005,247719
81,Maschi,2005,136382
81,Femmine,2005,239120
82,Maschi,2005,122668
82,Femmine,2005,227127
83,Maschi,2005,108680
83,Femmine,2005,211874
84,Maschi,2005,92784
84,Femmine,2005,194478
85,Maschi,2005,56943
85,Femmine,2005,116046
86,Maschi,2005,37860
86,Femmine,2005,80679
87,Maschi,2005,34425
87,Femmine,2005,75875
88,Maschi,2005,36736
88,Femmine,2005,84009
89,Maschi,2005,38602
89,Femmine,2005,90145
9,Maschi,2005,274212
9,Femmine,2005,258543
90,Maschi,2005,32179
90,Femmine,2005,77023
91,Maschi,2005,26330
91,Femmine,2005,65662
92,Maschi,2005,20232
92,Femmine,2005,55571
93,Maschi,2005,14184
93,Femmine,2005,42065
94,Maschi,2005,10680
94,Femmine,2005,32529
95,Maschi,2005,6613
95,Femmine,2005,22377
96,Maschi,2005,4264
96,Femmine,2005,15791
97,Maschi,2005,2483
97,Femmine,2005,10275
98,Maschi,2005,1668
98,Femmine,2005,6837
99,Maschi,2005,1005
99,Femmine,2005,4406
0,Maschi,2006,284192
0,Femmine,2006,266935
1,Maschi,2006,287042
1,Femmine,2006,272025
10,Maschi,2006,276727
10,Femmine,2006,260691
11,Maschi,2006,279200
11,Femmine,2006,263731
12,Maschi,2006,286021
12,Femmine,2006,270519
13,Maschi,2006,296917
13,Femmine,2006,281367
14,Maschi,2006,297319
14,Femmine,2006,280850
15,Maschi,2006,299218
15,Femmine,2006,283513
16,Maschi,2006,294591
16,Femmine,2006,279275
17,Maschi,2006,298336
17,Femmine,2006,281105
18,Maschi,2006,288892
18,Femmine,2006,271940
19,Maschi,2006,292517
19,Femmine,2006,277242
2,Maschi,2006,281879
2,Femmine,2006,266608
20,Maschi,2006,299972
20,Femmine,2006,287896
21,Maschi,2006,305731
21,Femmine,2006,293343
22,Maschi,2006,314109
22,Femmine,2006,301605
23,Maschi,2006,326336
23,Femmine,2006,316881
24,Maschi,2006,331410
24,Femmine,2006,324000
25,Maschi,2006,341988
25,Femmine,2006,334113
26,Maschi,2006,356109
26,Femmine,2006,349992
27,Maschi,2006,377710
27,Femmine,2006,371599
28,Maschi,2006,393742
28,Femmine,2006,389662
29,Maschi,2006,416459
29,Femmine,2006,411811
3,Maschi,2006,279355
3,Femmine,2006,264413
30,Maschi,2006,441351
30,Femmine,2006,435936
31,Maschi,2006,461266
31,Femmine,2006,453706
32,Maschi,2006,459777
32,Femmine,2006,451659
33,Maschi,2006,464904
33,Femmine,2006,455407
34,Maschi,2006,467438
34,Femmine,2006,464536
35,Maschi,2006,462075
35,Femmine,2006,460582
36,Maschi,2006,477339
36,Femmine,2006,475700
37,Maschi,2006,472784
37,Femmine,2006,470222
