Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
55,Maschi,387731,385362,392493,374437,370733,354803,354195,358474,372378,377585,383438,389887,392437,410440,418786,431260,439536,455137,486783,477592,481069,474832,474087,485152,480260,481071,487587,491756,486864
55,Femmine,402793,397342,406848,388683,386857,371149,370517,373597,392427,397845,404472,412280,415471,432129,441306,453861,461194,475227,503388,492347,493808,491849,489034,464006,462906,460947,458131,433104,432004
56,Maschi,303624,386795,384614,391557,373156,369328,353747,353028,357278,371033,376209,382250,388391,390470,408451,416879,429500,437987,453415,482300,478662,479716,473883,488425,496373,497427,491594,506136,514084
56,Femmine,316897,402532,398449,407521,388456,386128,371360,371103,374195,393238,398011,404470,412007,414508,430989,440114,452738,460125,474410,498964,492768,494413,491676,516833,522831,524475,521738,546898,552895
57,Maschi,311363,302262,385746,383681,390110,371721,367886,352273,351302,355720,369584,374687,380475,386480,388218,406309,414957,427661,436116,449183,483300,477089,478649,479297,492327,496569,492030,494000,507030
57,Femmine,326841,316371,403026,399049,407359,388218,386054,371332,371019,374737,393072,397821,403875,410901,413339,429802,438847,451673,459353,470280,499325,493124,494278,492596,502600,505327,500786,500504,510508
58,Maschi,315356,310098,300793,384503,382254,388384,370235,366470,350622,349470,353981,367904,372654,378206,384321,386041,404152,413040,425668,431452,449809,481573,475770,487549,512330,529182,538099,544694,569474
58,Femmine,334764,326244,316320,403179,398942,407054,388409,385951,371003,371063,374446,392716,397037,402768,409442,411964,428318,437639,450711,454905,470176,499748,492722,503831,525375,540176,548229,553845,575388
59,Maschi,314309,313625,308524,299134,382853,380597,386674,368587,364549,348773,347559,352155,365765,370303,375701,381812,383847,401980,411026,420581,431801,447787,479751,501939,501967,517953,549917,572123,572152
59,Femmine,337080,334181,326114,315927,402724,398676,407058,388570,385444,370683,370375,373954,391890,395793,401306,408019,410519,426948,436621,446361,454417,470470,499138,525539,528992,545045,573713,600109,603562
60,Maschi,317142,312448,311934,306795,297257,380949,378750,384666,366604,362209,346670,345464,349971,363367,367712,373298,379375,381659,399772,405934,420605,429758,445861,442203,444409,453561,469664,466005,468211
60,Femmine,342897,336164,333825,325806,315168,402187,398634,407209,388245,384880,369855,369650,372885,390495,394070,399758,406350,409121,425767,432200,445450,454591,469662,466538,469740,478881,493952,490830,494032
61,Maschi,349088,314989,310251,309907,304815,295240,378777,376669,382337,364116,359837,344333,343019,347396,360467,365055,370517,376891,379385,394296,405827,418279,427730,448307,463785,476237,485688,506270,521748
61,Femmine,379810,341841,335319,333183,325030,314166,401801,398578,406834,387857,383904,368874,368357,371465,388687,392325,397946,404686,407946,421054,430828,445337,453553,473431,494219,508728,516945,536816,557603
62,Maschi,345216,346471,312485,307862,307286,302549,292974,376473,374164,379688,361558,357018,341571,340215,344519,357654,362120,367913,374272,373824,393855,403523,416061,417285,434900,448459,457971,460122,477737
62,Femmine,373870,378480,340670,334179,332085,324137,313273,401281,398165,406334,386823,382561,367457,366633,369593,386942,390419,396279,403219,402963,419315,430584,444128,441522,450528,461797,475341,472742,481748
63,Maschi,333879,342175,343399,309759,305216,304824,300216,290749,373839,371553,376695,358507,353753,338447,337144,341549,354672,359220,365197,368091,373144,391182,401180,412061,427113,441143,454135,464148,479200
63,Femmine,364927,372755,377030,339406,332775,331023,323161,312377,400469,397477,405061,385196,380681,365549,364697,367794,385062,388661,394534,398570,400873,418597,429136,442059,455363,468868,482559,494566,507870
64,Maschi,307731,330833,338754,340142,306656,302330,302014,297684,287995,370853,368344,373061,355002,350234,334827,333942,338289,351583,356296,359064,367086,370180,388370,388908,393945,402834,415578,418051,423089
64,Femmine,340237,363759,371531,375270,337812,331289,329745,322370,311253,399412,396227,403174,383108,378570,363373,362669,365709,383041,386962,390100,396301,400259,417065,427176,430909,439292,452336,463673,467406
65,Maschi,292289,304794,327434,335224,336566,303552,299525,299221,294812,285002,367416,364463,369118,351362,346468,331416,330506,335079,348378,350200,357674,363931,367172,362559,371780,378037,381278,376665,385886
65,Femmine,329638,339141,362478,370117,373404,336232,329688,328561,321074,309954,397814,394031,400647,380743,376067,361030,360443,363608,381206,382732,387503,395446,398413,395106,408022,415965,418932,415621,428537
66,Maschi,298656,288470,301424,323834,331291,332664,300281,296414,296051,291815,281885,363027,360211,364783,347240,342570,327913,327125,331878,342178,348305,354269,360685,370419,375947,381911,388327,398060,403588
66,Femmine,339492,327779,337787,361028,368160,371203,334244,328237,327098,319607,308433,395395,391258,397936,378044,373652,358837,358334,361610,376946,379960,386248,393327,412435,417934,424222,431301,450406,455906
67,Maschi,287723,294246,284153,297531,319595,326901,328524,296493,292785,292293,288280,278120,357958,355537,359887,342718,338185,324044,323404,325411,339780,344662,350799,356084,368444,376489,380229,386238,398598
67,Femmine,332287,337314,325670,336316,358951,366025,368827,332433,326368,325189,317979,306228,392470,388513,394927,375279,371028,356386,356098,357196,373354,378252,383711,379352,383595,388494,393953,389594,393838
