Età,Totale maschi,Totale femmine,Totale,Anno
7,287279,270292,557571,2008
8,282488,267348,549836,2008
9,281966,265015,546981,2008
10,280671,264459,545130,2008
11,282171,265753,547924,2008
12,281692,264971,546663,2008
13,284599,268422,553021,2008
14,291052,274967,566019,2008
15,301582,285630,587212,2008
16,301159,284263,585422,2008
17,303591,287081,590672,2008
18,300965,283930,584895,2008
19,306687,288143,594830,2008
20,296922,281136,578058,2008
21,298392,285748,584140,2008
22,306272,298399,604671,2008
23,312976,305284,618260,2008
24,321290,313449,634739,2008
25,333347,329088,662435,2008
26,338213,336031,674244,2008
27,349221,346436,695657,2008
28,363503,364074,727577,2008
29,386180,385870,772050,2008
30,403625,402587,806212,2008
31,425683,422915,848598,2008
32,447933,443171,891104,2008
33,467245,460251,927496,2008
34,462096,460656,922752,2008
35,466632,465106,931738,2008
36,472354,472826,945180,2008
37,469273,468507,937780,2008
38,482930,483137,966067,2008
39,478400,478454,956854,2008
40,480755,481438,962193,2008
41,490373,489863,980236,2008
42,489613,490036,979649,2008
43,495533,496959,992492,2008
44,463954,469596,933550,2008
45,448265,455810,904075,2008
46,439688,448052,887740,2008
47,425787,435261,861048,2008
48,416045,424935,840980,2008
49,396829,407729,804558,2008
50,392965,404287,797252,2008
51,386760,399249,786009,2008
52,380077,394014,774091,2008
53,374124,390083,764207,2008
54,359231,372385,731616,2008
55,354195,370517,724712,2008
56,353747,371360,725107,2008
57,367886,386054,753940,2008
58,370235,388409,758644,2008
59,386674,407058,793732,2008
60,378750,398634,777384,2008
61,378777,401801,780578,2008
62,292974,313273,606247,2008
63,300216,323161,623377,2008
64,302014,329745,631759,2008
65,299525,329688,629213,2008
66,300281,334244,634525,2008
67,328524,368827,697351,2008
68,322183,363578,685761,2008
69,309955,354476,664431,2008
70,283630,329875,613505,2008
71,263806,314379,578185,2008
72,266016,321952,587968,2008
73,253261,313658,566919,2008
74,241432,305605,547037,2008
75,226560,296773,523333,2008
76,220503,296747,517250,2008
77,219222,304305,523527,2008
78,191462,274199,465661,2008
79,178378,266285,444663,2008
80,168826,256626,425452,2008
81,150518,242848,393366,2008
82,136173,230169,366342,2008
83,117044,215473,332517,2008
84,102624,202735,305359,2008
85,90132,189124,279256,2008
86,78360,169886,248246,2008
87,64516,148854,213370,2008
88,37613,87179,124792,2008
89,23577,58362,81939,2008
90,20626,52648,73274,2008
91,20518,55188,75706,2008
92,20285,55527,75812,2008
93,15939,45437,61376,2008
94,12071,36006,48077,2008
95,8642,28062,36704,2008
96,5502,19552,25054,2008
97,3779,13780,17559,2008
98,2136,8735,10871,2008
99,1196,5447,6643,2008
100 e oltre,1701,7874,9575,2008
Totale,28584441,30417328,59001769,2008
0,293072,277719,570791,2009
1,289814,273207,563021,2009
2,289944,272696,562640,2009
3,288619,270574,559193,2009
4,290529,274598,565127,2009
5,287063,270900,557963,2009
6,284550,268736,553286,2009
7,285368,269411,554779,2009
8,290042,272701,562743,2009
9,285047,269448,554495,2009
10,285051,267642,552693,2009
11,283706,267301,551007,2009
12,285188,268183,553371,2009
13,284612,267326,551938,2009
14,287739,270945,558684,2009
15,294126,277490,571616,2009
16,304613,288086,592699,2009
17,304083,286492,590575,2009
18,307832,290183,598015,2009
19,305747,288569,594316,2009
20,311275,294037,605312,2009
21,302270,288167,590437,2009
22,303779,292740,596519,2009
23,312198,305944,618142,2009
24,319389,313318,632707,2009
25,327373,321096,648469,2009
26,338931,336787,675718,2009
27,343501,343127,686628,2009
28,354598,354893,709491,2009
29,368829,370944,739773,2009
30,392519,393133,785652,2009
31,408717,407674,816391,2009
32,429624,425910,855534,2009
33,450765,446335,897100,2009
34,467613,466356,933969,2009
35,463724,465006,928730,2009
36,470520,469704,940224,2009
37,475456,476920,952376,2009
38,471977,472621,944598,2009
39,485635,487118,972753,2009
40,481082,482952,964034,2009
41,483131,486025,969156,2009
42,491825,493135,984960,2009
43,491003,493334,984337,2009
44,496971,500571,997542,2009
45,464929,472798,937727,2009
46,448893,458766,907659,2009
47,440118,450822,890940,2009
48,426319,438019,864338,2009
49,416395,427813,844208,2009
50,397045,410535,807580,2009
51,393165,407180,800345,2009
52,386619,401415,788034,2009
53,379743,395775,775518,2009
54,373443,391588,765031,2009
55,358474,373597,732071,2009
56,353028,371103,724131,2009
57,352273,371332,723605,2009
58,366470,385951,752421,2009
59,368587,388570,757157,2009
60,384666,407209,791875,2009
61,376669,398578,775247,2009
62,376473,401281,777754,2009
63,290749,312377,603126,2009
64,297684,322370,620054,2009
65,299221,328561,627782,2009
66,296414,328237,624651,2009
67,296493,332433,628926,2009
68,324201,366469,690670,2009
69,317252,361096,678348,2009
70,304583,352068,656651,2009
71,278351,327317,605668,2009
72,257907,311009,568916,2009
73,259341,318016,577357,2009
74,246093,309203,555296,2009
75,233671,300445,534116,2009
76,218239,291121,509360,2009
77,211311,289745,501056,2009
78,209334,296385,505719,2009
79,181457,266101,447558,2009
80,167825,257247,425072,2009
81,157723,246769,404492,2009
82,139637,231758,371395,2009
83,122388,217665,340053,2009
84,105589,202168,307757,2009
85,92900,188729,281629,2009
86,79806,174564,254370,2009
87,68713,153863,222576,2009
88,55639,132046,187685,2009
89,31743,76933,108676,2009
90,19486,50723,70209,2009
91,16651,44873,61524,2009
92,16225,46367,62592,2009
93,15640,45585,61225,2009
94,11878,36675,48553,2009
95,8808,28132,36940,2009
96,6057,21233,27290,2009
97,3764,14415,18179,2009
98,2499,9850,12349,2009
99,1413,6056,7469,2009
100 e oltre,1811,8347,10158,2009
Totale,28781255,30639337,59420592,2009
0,289377,272945,562322,2010
1,292642,277321,569963,2010
2,290510,273807,564317,2010
3,290910,273626,564536,2010
4,289723,271176,560899,2010
5,291180,275231,566411,2010
6,288196,271852,560048,2010
7,285727,269760,555487,2010
8,287562,271143,558705,2010
9,292548,274644,567192,2010
10,287074,271122,558196,2010
11,287660,269801,557461,2010
12,286343,269437,555780,2010
13,287533,270100,557633,2010
14,287118,269237,556355,2010
15,290499,273040,563539,2010
16,296991,279655,576646,2010
17,307701,290241,597942,2010
18,308168,288974,597142,2010
19,311855,294029,605884,2010
20,309326,293154,602480,2010
21,314703,299503,614206,2010
22,306044,294223,600267,2010
23,307650,298617,606267,2010
24,316142,312002,628144,2010
25,323523,319476,642999,2010
26,331355,326861,658216,2010
27,342322,341941,684263,2010
28,346191,348499,694690,2010
29,357640,358789,716429,2010
30,371641,374959,746600,2010
31,394633,396477,791110,2010
32,410191,409155,819346,2010
33,430306,427759,858065,2010
34,449387,449988,899375,2010
35,467616,469274,936890,2010
36,465586,468143,933729,2010
37,471824,472505,944329,2010
38,476070,479630,955700,2010
39,473009,475282,948291,2010
40,486346,489586,975932,2010
41,482058,486062,968120,2010
42,483954,489262,973216,2010
43,491911,495515,987426,2010
44,491048,495552,986600,2010
45,497244,503045,1000289,2010
46,464886,474752,939638,2010
47,448706,460538,909244,2010
48,439708,452596,892304,2010
49,425889,439569,865458,2010
50,415954,429559,845513,2010
51,396499,412359,808858,2010
52,392751,409143,801894,2010
53,385779,402734,788513,2010
54,378780,396767,775547,2010
55,372378,392427,764805,2010
56,357278,374195,731473,2010
57,351302,371019,722321,2010
58,350622,371003,721625,2010
59,364549,385444,749993,2010
60,366604,388245,754849,2010
61,382337,406834,789171,2010
62,374164,398165,772329,2010
63,373839,400469,774308,2010
64,287995,311253,599248,2010
65,294812,321074,615886,2010
66,296051,327098,623149,2010
67,292785,326368,619153,2010
68,292233,330172,622405,2010
69,319144,363683,682827,2010
70,311724,358198,669922,2010
71,298766,349080,647846,2010
72,272553,323938,596491,2010
73,251240,306987,558227,2010
74,252049,313406,565455,2010
75,238282,304193,542475,2010
76,225328,294627,519955,2010
77,209318,284433,493751,2010
78,201448,282067,483515,2010
79,198693,287443,486136,2010
80,171202,257051,428253,2010
81,156783,247272,404055,2010
82,146611,235851,382462,2010
83,125872,219844,345716,2010
84,110219,204448,314667,2010
85,95379,188080,283459,2010
86,83358,173747,257105,2010
87,70011,158391,228402,2010
88,59444,136290,195734,2010
89,47648,117639,165287,2010
90,26278,66724,93002,2010
91,15826,43240,59066,2010
92,13105,37600,50705,2010
93,12546,37960,50506,2010
94,11813,37162,48975,2010
95,8798,29293,38091,2010
96,6281,21805,28086,2010
97,4264,15939,20203,2010
98,2539,10438,12977,2010
99,1616,6931,8547,2010
100 e oltre,1951,9346,11297,2010
Totale,28903027,30787289,59690316,2010
0,284926,268292,553218,2011
1,288996,272698,561694,2011
2,292330,276734,569064,2011
3,291096,274123,565219,2011
4,291559,274004,565563,2011
5,290356,271708,562064,2011
6,291568,275384,566952,2011
7,289164,272571,561735,2011
8,286656,270536,557192,2011
9,289425,272627,562052,2011
10,294729,276367,571096,2011
11,288823,272376,561199,2011
12,289857,271634,561491,2011
13,288632,271318,559950,2011
14,289631,271761,561392,2011
15,289271,270967,560238,2011
16,293035,274888,567923,2011
17,299729,281501,581230,2011
18,311417,292707,604124,2011
19,311455,292408,603863,2011
20,314447,298129,612576,2011
21,312378,298164,610542,2011
22,318409,305411,623820,2011
23,310614,300985,611599,2011
24,311672,304822,616494,2011
25,320881,318319,639200,2011
26,328163,325924,654087,2011
27,335702,332502,668204,2011
28,346365,347581,693946,2011
29,349372,352563,701935,2011
30,361153,362433,723586,2011
31,373974,377856,751830,2011
32,396521,398293,794814,2011
33,411439,411244,822683,2011
34,430001,431702,861703,2011
35,449630,452898,902528,2011
36,469717,472411,942128,2011
37,467035,471097,938132,2011
38,472523,475467,947990,2011
39,476753,482354,959107,2011
40,473709,478147,951856,2011
41,486811,492373,979184,2011
42,482861,489361,972222,2011
43,484452,492624,977076,2011
44,491850,498202,990052,2011
45,491111,498246,989357,2011
46,497280,505896,1003176,2011
47,464579,477191,941770,2011
48,448104,462956,911060,2011
49,438935,454693,893628,2011
50,425185,441620,866805,2011
51,415185,431636,846821,2011
52,395693,414395,810088,2011
53,392077,411259,803336,2011
54,384671,404190,788861,2011
55,377585,397845,775430,2011
56,371033,393238,764271,2011
57,355720,374737,730457,2011
58,349470,371063,720533,2011
59,348773,370683,719456,2011
60,362209,384880,747089,2011
61,364116,387857,751973,2011
