Età,Sesso,Anno,Totale
61,Maschi,2005,309907.0
61,Femmine,2005,333183.0
62,Maschi,2005,307862.0
62,Femmine,2005,334179.0
63,Maschi,2005,309759.0
63,Femmine,2005,339406.0
64,Maschi,2005,340142.0
64,Femmine,2005,375270.0
65,Maschi,2005,335224.0
65,Femmine,2005,370117.0
66,Maschi,2005,323834.0
66,Femmine,2005,361028.0
67,Maschi,2005,297531.0
67,Femmine,2005,336316.0
68,Maschi,2005,279574.0
68,Femmine,2005,323362.0
69,Maschi,2005,284005.0
69,Femmine,2005,332101.0
7,Maschi,2005,272135.0
7,Femmine,2005,257132.0
70,Maschi,2005,272377.0
70,Femmine,2005,324361.0
71,Maschi,2005,262821.0
71,Femmine,2005,318004.0
72,Maschi,2005,249060.0
72,Femmine,2005,311399.0
73,Maschi,2005,245250.0
73,Femmine,2005,313627.0
74,Maschi,2005,246467.0
74,Femmine,2005,324117.0
75,Maschi,2005,218297.0
75,Femmine,2005,294109.0
76,Maschi,2005,206827.0
76,Femmine,2005,287957.0
77,Maschi,2005,196987.0
77,Femmine,2005,280532.0
78,Maschi,2005,180024.0
78,Femmine,2005,269595.0
79,Maschi,2005,167624.0
79,Femmine,2005,260379.0
8,Maschi,2005,274460.0
8,Femmine,2005,259097.0
80,Maschi,2005,153267.0
80,Femmine,2005,247719.0
81,Maschi,2005,136382.0
81,Femmine,2005,239120.0
82,Maschi,2005,122668.0
82,Femmine,2005,227127.0
83,Maschi,2005,108680.0
83,Femmine,2005,211874.0
84,Maschi,2005,92784.0
84,Femmine,2005,194478.0
85,Maschi,2005,56943.0
85,Femmine,2005,116046.0
86,Maschi,2005,37860.0
86,Femmine,2005,80679.0
87,Maschi,2005,34425.0
87,Femmine,2005,75875.0
88,Maschi,2005,36736.0
88,Femmine,2005,84009.0
89,Maschi,2005,38602.0
89,Femmine,2005,90145.0
9,Maschi,2005,274212.0
9,Femmine,2005,258543.0
90,Maschi,2005,32179.0
90,Femmine,2005,77023.0
91,Maschi,2005,26330.0
91,Femmine,2005,65662.0
92,Maschi,2005,20232.0
92,Femmine,2005,55571.0
93,Maschi,2005,14184.0
93,Femmine,2005,42065.0
94,Maschi,2005,10680.0
94,Femmine,2005,32529.0
95,Maschi,2005,6613.0
95,Femmine,2005,22377.0
96,Maschi,2005,4264.0
96,Femmine,2005,15791.0
97,Maschi,2005,2483.0
97,Femmine,2005,10275.0
98,Maschi,2005,1668.0
98,Femmine,2005,6837.0
99,Maschi,2005,1005.0
99,Femmine,2005,4406.0
0,Maschi,2006,284192.0
0,Femmine,2006,266935.0
1,Maschi,2006,287042.0
1,Femmine,2006,272025.0
10,Maschi,2006,276727.0
10,Femmine,2006,260691.0
11,Maschi,2006,279200.0
11,Femmine,2006,263731.0
12,Maschi,2006,286021.0
12,Femmine,2006,270519.0
13,Maschi,2006,296917.0
13,Femmine,2006,281367.0
14,Maschi,2006,297319.0
14,Femmine,2006,280850.0
15,Maschi,2006,299218.0
15,Femmine,2006,283513.0
16,Maschi,2006,294591.0
16,Femmine,2006,279275.0
17,Maschi,2006,298336.0
17,Femmine,2006,281105.0
18,Maschi,2006,288892.0
18,Femmine,2006,271940.0
19,Maschi,2006,292517.0
19,Femmine,2006,277242.0
2,Maschi,2006,281879.0
2,Femmine,2006,266608.0
20,Maschi,2006,299972.0
20,Femmine,2006,287896.0
21,Maschi,2006,305731.0
21,Femmine,2006,293343.0
22,Maschi,2006,314109.0
22,Femmine,2006,301605.0
23,Maschi,2006,326336.0
23,Femmine,2006,316881.0
24,Maschi,2006,331410.0
24,Femmine,2006,324000.0
25,Maschi,2006,341988.0
25,Femmine,2006,334113.0
26,Maschi,2006,356109.0
26,Femmine,2006,349992.0
27,Maschi,2006,377710.0
27,Femmine,2006,371599.0
28,Maschi,2006,393742.0
28,Femmine,2006,389662.0
29,Maschi,2006,416459.0
29,Femmine,2006,411811.0
3,Maschi,2006,279355.0
3,Femmine,2006,264413.0
30,Maschi,2006,441351.0
30,Femmine,2006,435936.0
31,Maschi,2006,461266.0
31,Femmine,2006,453706.0
32,Maschi,2006,459777.0
32,Femmine,2006,451659.0
33,Maschi,2006,464904.0
33,Femmine,2006,455407.0
34,Maschi,2006,467438.0
34,Femmine,2006,464536.0
35,Maschi,2006,462075.0
35,Femmine,2006,460582.0
36,Maschi,2006,477339.0
36,Femmine,2006,475700.0
37,Maschi,2006,472784.0
37,Femmine,2006,470222.0
38,Maschi,2006,475515.0
38,Femmine,2006,472746.0
39,Maschi,2006,487387.0
39,Femmine,2006,484183.0
4,Maschi,2006,277441.0
4,Femmine,2006,262690.0
40,Maschi,2006,486880.0
40,Femmine,2006,484224.0
41,Maschi,2006,492378.0
41,Femmine,2006,490626.0
42,Maschi,2006,461575.0
42,Femmine,2006,464407.0
43,Maschi,2006,446377.0
43,Femmine,2006,450933.0
44,Maschi,2006,438555.0
44,Femmine,2006,443897.0
45,Maschi,2006,424416.0
45,Femmine,2006,431069.0
46,Maschi,2006,414955.0
46,Femmine,2006,420317.0
47,Maschi,2006,395992.0
47,Femmine,2006,403259.0
48,Maschi,2006,392042.0
48,Femmine,2006,399928.0
49,Maschi,2006,386670.0
49,Femmine,2006,396119.0
5,Maschi,2006,281795.0
5,Femmine,2006,265491.0
50,Maschi,2006,380353.0
50,Femmine,2006,391288.0
51,Maschi,2006,374862.0
51,Femmine,2006,388098.0
52,Maschi,2006,360499.0
52,Femmine,2006,370966.0
53,Maschi,2006,356134.0
53,Femmine,2006,370252.0
54,Maschi,2006,356039.0
54,Femmine,2006,371719.0
55,Maschi,2006,370733.0
55,Femmine,2006,386857.0
56,Maschi,2006,373156.0
56,Femmine,2006,388456.0
57,Maschi,2006,390110.0
57,Femmine,2006,407359.0
58,Maschi,2006,382254.0
58,Femmine,2006,398942.0
59,Maschi,2006,382853.0
59,Femmine,2006,402724.0
6,Maschi,2006,278094.0
6,Femmine,2006,263408.0
60,Maschi,2006,297257.0
60,Femmine,2006,315168.0
61,Maschi,2006,304815.0
61,Femmine,2006,325030.0
62,Maschi,2006,307286.0
62,Femmine,2006,332085.0
63,Maschi,2006,305216.0
63,Femmine,2006,332775.0
64,Maschi,2006,306656.0
64,Femmine,2006,337812.0
65,Maschi,2006,336566.0
65,Femmine,2006,373404.0
66,Maschi,2006,331291.0
66,Femmine,2006,368160.0
67,Maschi,2006,319595.0
