Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
55,Femmine,484055.56,479875.77,478065.6,478623.2,471571.5,467391.71,465581.55,466139.14,459087.45,454907.66
55,Maschi,469146.5,466891.9,466775.9,468796.48,460149.54,457894.94,457778.94,459799.52,451152.59,448897.98
56,Femmine,498836.01,496340.61,495505.7,496335.0,501827.4,499332.0,498497.09,499326.39,504818.8,502323.39
56,Maschi,490682.64,489994.23,490694.46,492787.81,504649.48,503961.08,504661.3,506754.65,518616.33,517927.93
57,Femmine,505595.76,516650.09,521635.43,520559.36,531200.12,542254.45,547239.79,546163.73,556804.48,567858.82
57,Maschi,501082.53,517879.57,527488.4,529914.77,549065.94,565862.98,575471.81,577898.18,597049.36,613846.39
58,Femmine,501929.03,522428.43,536743.51,544865.35,549443.77,569943.16,584258.24,592380.08,596958.5,617457.9
58,Maschi,485636.12,509204.56,525399.93,534213.56,539948.12,563516.56,579711.93,588525.56,594260.12,617828.55
59,Femmine,513790.51,530449.36,550315.06,573380.37,590350.02,607008.87,626874.58,649939.89,666909.54,683568.39
59,Maschi,493962.1,513389.82,535079.56,559026.79,576685.05,596112.78,617802.51,641749.74,659408.0,678835.73
60,Femmine,478307.14,489062.03,500885.68,513800.85,523160.78,533915.66,545739.31,558654.48,568014.42,578769.3
60,Maschi,454846.21,466355.02,478906.57,492516.2,502266.53,513775.33,526326.89,539936.51,549686.84,561195.64
61,Femmine,465547.37,477804.75,489211.06,499735.29,511064.35,523321.73,534728.04,545252.27,556581.33,568838.71
61,Maschi,446265.56,461633.02,474085.08,483536.15,502077.54,517445.0,529897.06,539348.13,557889.52,573256.98
62,Femmine,454837.34,468039.38,480112.26,491055.53,503297.82,516499.87,528572.75,539516.02,551758.31,564960.36
62,Maschi,427378.66,442201.73,454999.66,465776.71,477689.79,492512.86,505310.79,516087.84,528000.92,542823.99
63,Femmine,433489.24,448441.34,460342.25,469187.41,475288.83,490240.93,502141.84,510987.0,517088.42,532040.52
63,Maschi,413857.86,431951.51,446764.94,458292.97,470647.3,488740.95,503554.39,515082.42,527436.74,545530.39
64,Femmine,413404.91,423322.01,431847.15,438974.59,439629.36,449546.46,458071.6,465199.04,465853.81,475770.91
64,Maschi,382714.94,393941.37,402773.18,409205.96,409109.14,420335.56,429167.38,435600.16,435503.33,446729.76
65,Femmine,391973.84,404827.7,412770.62,415737.54,409302.21,422156.07,430098.99,433065.91,426630.58,439484.44
65,Maschi,361291.98,370568.96,376826.05,380067.13,374184.73,383461.71,389718.8,392959.88,387077.48,396354.46
66,Femmine,412461.03,418016.45,424305.13,431384.8,450513.54,456068.96,462357.64,469437.31,488566.05,494121.47
66,Maschi,343563.52,346476.7,349215.06,351775.24,345621.52,348534.7,351273.06,353833.24,347679.52,350592.7
67,Femmine,386590.04,394247.1,402558.56,411527.34,412898.54,420555.6,428867.06,437835.83,439207.03,446864.09
67,Maschi,354556.84,361718.73,369681.75,378449.54,381022.28,388184.16,396147.19,404914.98,407487.71,414649.6
68,Femmine,353032.09,351278.59,349990.99,349166.49,341475.02,339721.51,338433.92,337609.42,329917.94,328164.44
68,Maschi,356886.7,362406.25,369385.65,377818.79,393461.77,398981.32,405960.72,414393.86,430036.83,435556.38
69,Femmine,366738.96,363535.95,363927.68,367915.07,369143.89,365940.87,366332.61,370320.0,371548.81,368345.8
69,Maschi,330980.12,328202.14,328521.71,331939.78,333566.08,330788.1,331107.67,334525.74,336152.04,333374.06
70,Femmine,390484.41,381259.22,371903.54,362432.54,402937.56,393712.37,384356.69,374885.69,415390.7,406165.51
70,Maschi,350906.89,342850.89,334785.98,326725.8,363360.59,355304.59,347239.69,339179.51,375814.3,367758.3
71,Femmine,369439.76,377904.1,383294.93,385611.86,388789.14,397253.48,402644.3,404961.24,408138.52,416602.85
71,Maschi,330577.13,337988.34,342827.78,345095.65,349788.16,357199.36,362038.8,364306.68,368999.18,376410.38
72,Femmine,373090.31,380587.53,388112.06,395662.19,399389.66,406886.88,414411.41,421961.55,425689.02,433186.23
72,Maschi,331548.98,338599.71,345632.12,352645.19,357774.3,364825.03,371857.44,378870.5,383999.62,391050.35
73,Femmine,376991.88,380914.67,387594.34,397032.32,407559.16,411481.94,418161.62,427599.6,438126.43,442049.21
73,Maschi,332248.06,336536.15,343171.71,352156.27,363054.8,367342.89,373978.45,382963.01,393861.54,398149.63
74,Femmine,369756.82,370660.02,369447.4,366127.13,392876.37,393779.57,392566.95,389246.68,415995.92,416899.12
74,Maschi,322296.29,324233.71,324324.37,322575.42,347136.64,349074.06,349164.72,347415.77,371976.99,373914.41
75,Femmine,318294.64,334611.07,348050.81,358601.19,330238.11,346554.54,359994.29,370544.67,342181.59,358498.02
75,Maschi,274301.91,289481.86,302166.65,312345.62,289775.79,304955.73,317640.53,327819.49,305249.66,320429.61
76,Femmine,297485.18,304776.32,313109.93,322475.21,296762.38,304053.52,312387.13,321752.41,296039.58,303330.72
76,Maschi,252540.84,260164.17,268709.8,278168.55,257783.03,265406.36,273951.99,283410.74,263025.21,270648.55
77,Femmine,287500.2,285207.87,286358.94,290950.1,279656.74,277364.4,278515.48,283106.64,271813.28,269520.94
77,Maschi,239086.27,238621.13,240997.92,246213.86,238162.14,237697.0,240073.8,245289.73,237238.01,236772.88
78,Femmine,277296.83,270596.31,262128.34,251899.12,263174.49,256473.97,248006.0,237776.78,249052.15,242351.64
78,Maschi,226216.33,222023.99,216675.53,210175.9,220569.06,216376.72,211028.26,204528.63,214921.78,210729.44
79,Femmine,272853.45,273094.68,271783.28,268918.77,265708.6,265949.83,264638.43,261773.93,258563.75,258804.98
79,Maschi,218423.08,219732.69,219992.63,219202.78,218859.79,220169.4,220429.35,219639.49,219296.51,220606.12
80,Femmine,278438.28,276140.34,275365.08,276113.24,278146.06,275848.12,275072.86,275821.02,277853.84,275555.9
80,Maschi,216971.22,217061.14,218149.45,220236.69,223149.01,223238.93,224327.24,226414.48,229326.8,229416.72
81,Femmine,284440.04,280053.87,277478.17,276718.34,290934.1,286547.93,283972.23,283212.4,297428.16,293042.0
81,Maschi,217633.18,215808.34,215350.89,216265.2,229672.9,227848.06,227390.61,228304.92,241712.62,239887.78
82,Femmine,281831.7,282411.97,280911.19,277335.36,295129.51,295709.77,294208.99,290633.16,308427.31,309007.57
82,Maschi,210547.1,212354.37,212977.34,212420.84,228233.72,230040.99,230663.96,230107.46,245920.34,247727.61
83,Femmine,275992.9,288631.23,295598.95,296898.09,307212.7,319851.03,326818.75,328117.89,338432.5,351070.83
83,Maschi,199098.68,209822.36,216150.44,218082.15,228034.75,238758.42,245086.51,247018.21,256970.82,267694.49
84,Femmine,244879.69,257924.79,267132.72,272496.72,268716.51,281761.61,290969.53,296333.53,292553.33,305598.42
84,Maschi,172959.19,184332.58,193254.21,199719.36,199404.29,210777.68,219699.31,226164.46,225849.38,237222.78
85,Femmine,224869.44,223006.31,228743.11,242076.39,237937.64,236074.51,241811.31,255144.59,251005.85,249142.72
85,Maschi,156843.79,159866.42,167238.81,178958.12,182186.96,185209.59,192581.98,204301.29,207530.13,210552.75
86,Femmine,205154.67,200509.77,199370.02,201739.05,209837.7,205192.8,204053.05,206422.08,214520.73,209875.83
86,Maschi,132866.05,132289.95,134108.54,138324.08,144463.02,143886.92,145705.51,149921.05,156059.99,155483.89
87,Femmine,177724.47,181550.29,181563.64,177766.76,179334.18,183160.0,183173.35,179376.47,180943.89,184769.71
87,Maschi,109776.26,113698.73,115488.14,115145.82,118045.59,121968.07,123757.48,123415.16,126314.93,130237.4
88,Femmine,159956.65,162573.86,164386.37,165391.54,162071.31,164688.52,166501.03,167506.2,164185.97,166803.18
88,Maschi,93460.4,96988.09,99946.14,102332.7,101534.74,105062.43,108020.48,110407.04,109609.08,113136.78
89,Femmine,141028.79,139461.0,140345.27,143680.55,140122.2,138554.41,139438.69,142773.97,139215.61,137647.83
