Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
42,Femmine,421836.49,414276.79,408713.93,405150.97,410320.09,402760.39,397197.53,393634.57,398803.69,391243.99,385681.13,382118.17,387287.3,379727.59,374164.74,370601.78
42,Maschi,419796.8,412312.09,406820.34,403324.55,408559.14,401074.43,395582.68,392086.89,397321.48,389836.77,384345.02,380849.23,386083.82,378599.11,373107.37,369611.58
43,Femmine,352334.93,333790.5,317329.59,302949.01,283864.52,265320.09,248859.19,234478.61,215394.12,196849.69,180388.79,166008.21,146923.72,128379.29,111918.38,97537.8
43,Maschi,441081.83,434400.94,429957.63,427755.68,436110.87,429429.98,424986.67,422784.72,431139.92,424459.03,420015.72,417813.77,426168.96,419488.07,415044.76,412842.81
44,Femmine,466688.56,460300.47,455683.3,452842.79,467522.12,461134.03,456516.85,453676.35,468355.67,461967.58,457350.4,454509.9,469189.22,462801.14,458183.96,455343.46
44,Maschi,372746.51,354754.81,337709.64,321614.83,308625.93,290634.22,273589.06,257494.25,244505.34,226513.63,209468.47,193373.66,180384.75,162393.04,145347.88,129253.07
45,Femmine,399357.64,386861.34,372556.63,356448.61,346902.81,334406.52,320101.81,303993.79,294447.99,281951.7,267646.99,251538.97,241993.17,229496.88,215192.16,199084.15
45,Maschi,398907.81,387131.57,373898.14,359214.16,350134.02,338357.79,325124.35,310440.38,301360.23,289584.0,276350.57,261666.59,252586.45,240810.21,227576.78,212892.8
46,Femmine,422297.7,415538.44,405846.21,393221.8,384293.53,377534.27,367842.05,355217.63,346289.36,339530.1,329837.88,317213.46,308285.19,301525.93,291833.71,279209.3
46,Maschi,420211.12,414097.08,405127.64,393302.6,385357.46,379243.43,370273.98,358448.94,350503.8,344389.77,335420.32,323595.28,315650.14,309536.11,300566.66,288741.63
47,Femmine,451596.5,445669.79,440419.1,435844.6,432151.91,426225.19,420974.51,416400.0,412707.31,406780.6,401529.91,396955.4,393262.72,387336.0,382085.32,377510.81
47,Maschi,447540.14,442938.03,438618.59,434582.46,431031.12,426429.01,422109.57,418073.44,414522.1,409919.99,405600.55,401564.42,398013.08,393410.97,389091.53,385055.4
48,Femmine,464573.62,458664.33,453915.3,450326.42,449253.96,443344.66,438595.64,435006.76,433934.3,428025.0,423275.98,419687.1,418614.64,412705.34,407956.32,404367.44
48,Maschi,461245.77,455670.17,451280.45,448076.46,449249.72,443674.12,439284.4,436080.41,437253.67,431678.07,427288.35,424084.36,425257.62,419682.02,415292.3,412088.31
49,Femmine,471797.03,468733.24,465167.83,461108.84,459878.8,456815.01,453249.61,449190.61,447960.57,444896.79,441331.38,437272.38,436042.35,432978.56,429413.16,425354.16
49,Maschi,465233.07,464291.11,461535.66,456973.9,456243.75,455301.79,452546.34,447984.58,447254.44,446312.47,443557.03,438995.27,438265.12,437323.16,434567.71,430005.95
50,Femmine,470132.55,469833.41,467040.71,461755.82,457012.43,456713.29,453920.59,448635.71,443892.31,443593.17,440800.47,435515.59,430772.19,430473.06,427680.35,422395.47
50,Maschi,462373.05,463415.79,461525.58,456700.05,452176.24,453218.98,451328.77,446503.24,441979.43,443022.17,441131.96,436306.43,431782.62,432825.36,430935.15,426109.62
51,Femmine,475610.59,474397.23,472523.5,469990.4,464302.58,463089.22,461215.49,458682.39,452994.58,451781.21,449907.49,447374.38,441686.57,440473.21,438599.48,436066.38
51,Maschi,487406.8,490174.81,492257.72,493656.84,497208.81,499976.83,502059.74,503458.86,507010.83,509778.84,511861.75,513260.87,516812.84,519580.86,521663.77,523062.88
52,Femmine,507707.96,511783.18,514239.26,515078.46,523372.28,527447.5,529903.59,530742.79,539036.61,543111.83,545567.91,546407.11,554700.93,558776.15,561232.24,562071.43
52,Maschi,504891.13,510569.98,514330.17,516175.01,529000.72,534679.56,538439.75,540284.59,553110.3,558789.14,562549.33,564394.17,577219.88,582898.72,586658.92,588503.75
53,Femmine,514482.1,523625.39,528940.87,530430.88,540649.76,549793.05,555108.52,556598.53,566817.41,575960.7,581276.18,582766.19,592985.07,602128.36,607443.84,608933.85
53,Maschi,499778.01,510116.75,515868.25,517034.56,526954.87,537293.61,543045.11,544211.42,554131.73,564470.47,570221.96,571388.28,581308.59,591647.33,597398.82,598565.14
54,Femmine,519123.08,528545.45,535980.65,541428.04,550435.51,559857.88,567293.08,572740.46,581747.94,591170.31,598605.51,604052.89,613060.36,622482.74,629917.93,635365.32
54,Maschi,503873.41,514052.13,522073.38,527936.26,536643.84,546822.56,554843.81,560706.69,569414.27,579592.99,587614.24,593477.12,602184.7,612363.42,620384.67,626247.55
55,Femmine,517663.17,524931.79,533680.97,543911.81,551402.2,558670.81,567420.0,577650.83,585141.22,592409.84,601159.02,611389.86,618880.24,626148.86,634898.04,645128.88
55,Maschi,502161.7,508911.97,517711.62,528561.74,537315.07,544065.34,552864.98,563715.11,572468.43,579218.7,588018.35,598868.48,607621.8,614372.07,623171.72,634021.84
56,Femmine,496647.9,501450.95,508241.26,517016.88,521982.0,526785.05,533575.36,542350.98,547316.09,552119.15,558909.45,567685.07,572650.19,577453.24,584243.55,593019.17
56,Maschi,489255.8,494514.98,502291.89,512585.43,521528.16,526787.34,534564.25,544857.79,553800.52,559059.7,566836.61,577130.15,586072.88,591332.06,599108.97,609402.51
57,Femmine,490894.39,494695.72,501712.07,511943.73,516668.43,520469.76,527486.11,537717.77,542442.47,546243.79,553260.15,563491.8,568216.51,572017.83,579034.19,589265.84
57,Maschi,468096.19,472694.32,479610.96,488846.03,493086.33,497684.45,504601.09,513836.17,518076.46,522674.59,529591.23,538826.31,543066.6,547664.72,554581.36,563816.44
58,Femmine,485222.74,489924.68,493152.08,494908.26,510532.18,515234.12,518461.52,520217.71,535841.63,540543.56,543770.97,545527.15,561151.07,565853.01,569080.41,570836.59
58,Maschi,459893.3,465161.03,468927.47,471195.07,484180.47,489448.2,493214.64,495482.24,508467.65,513735.38,517501.82,519769.42,532754.83,538022.56,541789.0,544056.6
59,Femmine,460287.65,474070.26,483727.59,489255.84,483793.78,497576.39,507233.71,512761.97,507299.9,521082.52,530739.84,536268.09,530806.03,544588.64,554245.97,559774.22
59,Maschi,434821.16,447813.2,457495.03,463862.31,457322.55,470314.59,479996.42,486363.71,479823.94,492815.98,502497.82,508865.1,502325.33,515317.38,524999.21,531366.49
60,Femmine,447440.23,455974.23,464444.96,472847.38,468212.4,476746.41,485217.14,493619.55,488984.58,497518.58,505989.31,514391.72,509756.75,518290.75,526761.48,535163.9
60,Maschi,420731.24,428798.01,437088.68,445598.39,440535.26,448602.03,456892.7,465402.41,460339.28,468406.04,476696.72,485206.42,480143.3,488210.06,496500.73,505010.44
61,Femmine,435837.48,439693.4,445198.54,452352.52,453061.27,456917.19,462422.34,469576.31,470285.06,474140.98,479646.13,486800.1,487508.85,491364.77,496869.92,504023.89
61,Maschi,409174.87,412774.62,417975.92,424778.43,425844.31,429444.07,434645.36,441447.87,442513.76,446113.51,451314.8,458117.31,459183.2,462782.95,467984.25,474786.76
62,Femmine,426606.1,430621.56,431482.0,429190.58,441113.1,445128.57,445989.01,443697.58,455620.11,459635.57,460496.01,458204.59,470127.12,474142.58,475003.02,472711.6
62,Maschi,398868.93,402903.51,403931.28,401955.17,413072.49,417107.07,418134.84,416158.73,427276.05,431310.63,432338.4,430362.3,441479.61,445514.2,446541.96,444565.86
63,Femmine,399667.91,412225.59,420372.42,424102.5,411242.76,423800.44,431947.27,435677.35,422817.61,435375.3,443522.13,447252.21,434392.46,446950.15,455096.98,458827.06
63,Maschi,372590.41,384657.54,392532.95,396211.02,384234.42,396301.55,404176.96,407855.03,395878.43,407945.56,415820.97,419499.04,407522.44,419589.57,427464.98,431143.05
64,Femmine,396650.45,400321.74,406154.64,414144.16,406894.51,410565.8,416398.7,424388.22,417138.57,420809.86,426642.76,434632.28,427382.63,431053.92,436886.82,444876.33
64,Maschi,368396.07,372260.73,378156.78,386079.37,379033.06,382897.72,388793.77,396716.36,389670.05,393534.71,399430.76,407353.35,400307.04,404171.7,410067.75,417990.34
65,Femmine,394731.73,393275.9,396086.94,403165.1,404334.09,402878.25,405689.3,412767.45,413936.44,412480.61,415291.65,422369.81,423538.79,422082.96,424894.01,431972.16
65,Maschi,365667.45,364659.94,367659.09,374665.01,376035.08,375027.56,378026.71,385032.63,386402.71,385395.19,388394.34,395400.26,396770.33,395762.82,398761.96,405767.88
66,Femmine,395108.04,393486.49,390334.98,385659.95,404309.94,402688.39,399536.88,394861.85,413511.84,411890.29,408738.78,404063.75,422713.74,421092.19,417940.68,413265.65
66,Maschi,365570.32,364295.85,361858.06,358263.01,376104.72,374830.24,372392.46,368797.4,386639.11,385364.64,382926.85,379331.8,397173.5,395899.03,393461.25,389866.19
67,Femmine,370729.53,381606.23,387461.76,388291.93,378896.49,389773.18,395628.71,396458.89,387063.44,397940.14,403795.66,404625.84,395230.39,406107.09,411962.62,412792.79
67,Maschi,342586.28,352630.93,358293.42,359570.27,352671.86,362716.51,368378.99,369655.85,362757.43,372802.09,378464.57,379741.43,372843.01,382887.67,388550.15,389827.01
68,Femmine,369272.19,372702.4,377847.12,384701.14,377064.84,380495.06,385639.78,392493.8,384857.5,388287.71,393432.43,400286.45,392650.15,396080.36,401225.08,408079.11
68,Maschi,338782.93,342601.25,347913.97,354716.44,348834.71,352653.03,357965.75,364768.22,358886.49,362704.81,368017.53,374819.99,368938.27,372756.59,378069.31,384871.77
69,Femmine,370121.25,367316.15,369128.32,375558.53,377691.01,374885.91,376698.08,383128.29,385260.77,382455.67,384267.84,390698.05,392830.53,390025.43,391837.6,398267.81
69,Maschi,339063.26,337152.73,339599.67,346404.85,349727.97,347817.45,350264.38,357069.56,360392.68,358482.16,360929.09,367734.27,371057.39,369146.87,371593.8,378398.98
70,Femmine,370472.47,367913.06,363784.54,358094.07,377780.98,375221.57,371093.05,365402.58,385089.48,382530.07,378401.55,372711.08,392397.99,389838.57,385710.06,380019.59
70,Maschi,338108.07,336242.97,333587.7,330148.82,349296.83,347431.73,344776.46,341337.58,360485.59,358620.49,355965.22,352526.34,371674.35,369809.26,367153.98,363715.1
