id,Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale
26,46,5952,8172,773,47,31,1,0,14976,4516,9565,1267,172,24,1,0,15545,30521
26,47,5981,8629,905,47,24,1,0,15587,4409,9998,1550,206,19,3,0,16185,31772
26,48,5990,9464,1129,55,44,0,1,16683,4495,10714,1658,256,31,1,0,17155,33838
26,49,6110,10231,1218,63,44,3,0,17669,4357,11393,1886,271,22,3,0,17932,35601
26,50,5758,10375,1337,68,50,2,1,17591,4193,11400,1925,301,27,0,0,17846,35437
26,51,5437,10941,1383,116,32,1,1,17911,3831,11777,2162,328,14,0,0,18112,36023
26,52,5213,10964,1492,99,39,2,1,17810,3615,12300,2164,447,21,2,0,18549,36359
26,53,4872,11251,1509,101,35,0,0,17768,3506,12195,2281,496,24,0,0,18502,36270
26,54,4680,11549,1634,146,39,1,0,18049,3245,12823,2337,546,15,0,0,18966,37015
26,55,4316,11869,1714,139,37,1,0,18076,2965,12503,2480,644,22,1,0,18615,36691
26,56,3970,11876,1733,161,34,0,1,17775,2876,12506,2489,734,24,0,0,18629,36404
26,57,3784,11993,1851,219,33,1,2,17883,2581,12678,2407,780,12,0,0,18458,36341
26,58,3433,11867,1839,201,43,0,2,17385,2444,12458,2450,905,14,0,0,18271,35656
26,59,3234,12222,1871,218,37,0,1,17583,2334,12723,2485,977,14,0,0,18533,36116
26,60,2765,11508,1735,267,36,1,2,16314,2070,12133,2223,1045,12,0,0,17483,33797
26,61,2372,11077,1563,301,28,0,2,15343,1845,11608,2164,1168,10,0,1,16796,32139
26,62,2223,11137,1529,295,29,0,1,15214,1634,11571,2032,1350,6,0,0,16593,31807
26,63,1932,10802,1515,306,19,0,3,14577,1437,11060,1979,1465,8,0,0,15949,30526
26,64,1802,10738,1434,382,31,0,2,14389,1361,10872,1813,1464,3,0,0,15513,29902
26,65,1666,10426,1295,382,21,0,1,13791,1273,10538,1710,1685,11,0,0,15217,29008
26,66,1565,10458,1241,407,19,0,0,13690,1190,10373,1540,1886,10,0,0,14999,28689
26,67,1357,10343,1137,498,22,0,1,13358,1094,10052,1530,2071,9,0,0,14756,28114
26,68,1311,10064,1002,527,15,0,1,12920,1001,9733,1376,2287,3,0,0,14400,27320
26,69,1243,9875,970,572,10,0,0,12670,956,9476,1262,2459,2,0,0,14155,26825
26,70,1091,9433,860,598,13,0,1,11996,829,9094,1207,2598,5,0,1,13734,25730
26,71,929,9383,802,671,11,0,0,11796,820,8862,1093,2788,9,0,0,13572,25368
26,72,918,9043,687,702,10,0,1,11361,735,8655,991,3110,6,0,0,13497,24858
26,73,915,9368,689,745,8,1,2,11728,717,8784,958,3475,1,0,0,13935,25663
26,74,805,9590,636,885,8,0,1,11925,721,8634,860,3851,1,0,0,14067,25992
26,75,840,9895,599,1043,9,0,3,12389,762,8803,906,4412,3,0,0,14886,27275
26,76,723,9790,550,1063,7,0,1,12134,676,8295,797,4622,3,0,0,14393,26527
26,77,693,9222,510,1180,7,0,0,11612,662,7627,800,4985,0,0,0,14074,25686
26,78,494,6944,334,925,10,0,0,8707,473,5584,497,4191,3,0,0,10748,19455
26,79,467,6989,326,1141,7,0,0,8930,544,5573,527,4635,0,0,0,11279,20209
26,80,467,6528,268,1117,5,0,1,8386,523,5045,498,5069,0,0,0,11135,19521
26,81,495,6280,224,1286,7,0,0,8292,536,4563,486,5302,2,0,0,10889,19181
26,82,440,5929,228,1227,4,0,0,7828,530,4120,379,5713,0,0,0,10742,18570
26,83,416,6092,232,1552,3,0,1,8296,541,4036,370,6524,1,0,1,11473,19769
26,84,375,5530,170,1552,4,0,1,7632,546,3441,334,6636,1,0,1,10959,18591
26,85,323,4971,157,1473,3,0,0,6927,484,2916,311,6388,1,0,0,10100,17027
26,86,274,3950,121,1441,1,0,0,5787,472,2209,244,5894,0,0,0,8819,14606
